2013-11-27 01:33:42,271 [DEBUG] django.db.backends: (0.025) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:33:42.227044 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:33:42.227044')
2013-11-27 01:33:42,309 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-11-27 01:33:42,311 [DEBUG] django.db.backends: (0.001) UPDATE "django_session" SET "session_data" = ZmEwYmE4ZTljY2E1YTVlMDAxMWU0YTE3NThhZTk0NjZlNzhlZTQwMTp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7fX19, "expire_date" = 2013-12-11 09:33:42.308852 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'ZmEwYmE4ZTljY2E1YTVlMDAxMWU0YTE3NThhZTk0NjZlNzhlZTQwMTp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7fX19', u'2013-12-11 09:33:42.308852', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-11-27 01:34:40,539 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:34:40.536878 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:34:40.536878')
2013-11-27 01:34:40,560 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-11-27 01:34:40,562 [DEBUG] django.db.backends: (0.000) UPDATE "django_session" SET "session_data" = ZmEwYmE4ZTljY2E1YTVlMDAxMWU0YTE3NThhZTk0NjZlNzhlZTQwMTp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7fX19, "expire_date" = 2013-12-11 09:34:40.559714 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'ZmEwYmE4ZTljY2E1YTVlMDAxMWU0YTE3NThhZTk0NjZlNzhlZTQwMTp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7fX19', u'2013-12-11 09:34:40.559714', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-11-27 01:34:44,833 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:34:44.831817 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:34:44.831817')
2013-11-27 01:34:44,841 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-11-27 01:34:44,842 [DEBUG] django.db.backends: (0.000) UPDATE "django_session" SET "session_data" = OWJkZGQ1ZWJiMjNjZjg5MWE5ODVlMzE4MmVhZTNlMDZhMTdiNTBkNzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjEiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19, "expire_date" = 2013-12-11 09:34:44.840266 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'OWJkZGQ1ZWJiMjNjZjg5MWE5ODVlMzE4MmVhZTNlMDZhMTdiNTBkNzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjEiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19', u'2013-12-11 09:34:44.840266', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-11-27 01:34:54,136 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:34:54.134235 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:34:54.134235')
2013-11-27 01:34:54,143 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
